code,nav,percentage,time,createtime
160632,1.2034,-0.6246,2020-01-22 09:32:00,2020-01-22 16:11:37
160632,1.2039,-0.5852,2020-01-22 09:33:00,2020-01-22 16:11:37
160632,1.203,-0.6575,2020-01-22 09:34:00,2020-01-22 16:11:37
160632,1.2029,-0.6706,2020-01-22 09:35:00,2020-01-22 16:11:37
160632,1.2026,-0.6904,2020-01-22 09:36:00,2020-01-22 16:11:37
160632,1.2031,-0.6509,2020-01-22 09:37:00,2020-01-22 16:11:37
160632,1.202,-0.743,2020-01-22 09:38:00,2020-01-22 16:11:37
160632,1.2012,-0.8087,2020-01-22 09:39:00,2020-01-22 16:11:37
160632,1.2003,-0.8876,2020-01-22 09:40:00,2020-01-22 16:11:37
160632,1.2021,-0.7364,2020-01-22 09:41:00,2020-01-22 16:11:37
160632,1.2018,-0.7627,2020-01-22 09:42:00,2020-01-22 16:11:37
160632,1.2014,-0.789,2020-01-22 09:43:00,2020-01-22 16:11:37
160632,1.2006,-0.8613,2020-01-22 09:44:00,2020-01-22 16:11:37
160632,1.2003,-0.8811,2020-01-22 09:45:00,2020-01-22 16:11:37
160632,1.2006,-0.8613,2020-01-22 09:46:00,2020-01-22 16:11:37
160632,1.2009,-0.835,2020-01-22 09:47:00,2020-01-22 16:11:37
160632,1.2003,-0.8811,2020-01-22 09:48:00,2020-01-22 16:11:37
160632,1.1999,-0.9205,2020-01-22 09:49:00,2020-01-22 16:11:37
160632,1.1999,-0.9139,2020-01-22 09:50:00,2020-01-22 16:11:37
160632,1.2003,-0.8876,2020-01-22 09:51:00,2020-01-22 16:11:37
160632,1.2014,-0.7956,2020-01-22 09:52:00,2020-01-22 16:11:37
160632,1.2017,-0.7693,2020-01-22 09:53:00,2020-01-22 16:11:37
160632,1.201,-0.8219,2020-01-22 09:54:00,2020-01-22 16:11:37
160632,1.2009,-0.835,2020-01-22 09:55:00,2020-01-22 16:11:37
160632,1.1998,-0.9271,2020-01-22 09:56:00,2020-01-22 16:11:37
160632,1.1996,-0.9402,2020-01-22 09:57:00,2020-01-22 16:11:37
160632,1.1991,-0.9862,2020-01-22 09:58:00,2020-01-22 16:11:37
160632,1.2003,-0.8876,2020-01-22 09:59:00,2020-01-22 16:11:37
160632,1.2013,-0.8022,2020-01-22 10:00:00,2020-01-22 16:11:37
160632,1.2018,-0.7561,2020-01-22 10:01:00,2020-01-22 16:11:37
160632,1.2024,-0.7101,2020-01-22 10:02:00,2020-01-22 16:11:37
160632,1.2034,-0.6246,2020-01-22 10:03:00,2020-01-22 16:11:37
160632,1.2037,-0.6049,2020-01-22 10:04:00,2020-01-22 16:11:37
160632,1.2041,-0.572,2020-01-22 10:05:00,2020-01-22 16:11:37
160632,1.2037,-0.6049,2020-01-22 10:06:00,2020-01-22 16:11:37
160632,1.2036,-0.6115,2020-01-22 10:07:00,2020-01-22 16:11:37
160632,1.2033,-0.6378,2020-01-22 10:08:00,2020-01-22 16:11:37
160632,1.203,-0.6641,2020-01-22 10:09:00,2020-01-22 16:11:37
160632,1.2038,-0.5983,2020-01-22 10:10:00,2020-01-22 16:11:37
160632,1.2044,-0.5457,2020-01-22 10:11:00,2020-01-22 16:11:37
160632,1.2057,-0.4339,2020-01-22 10:12:00,2020-01-22 16:11:37
160632,1.2061,-0.4077,2020-01-22 10:13:00,2020-01-22 16:11:37
160632,1.2061,-0.4011,2020-01-22 10:14:00,2020-01-22 16:11:37
160632,1.2061,-0.4011,2020-01-22 10:15:00,2020-01-22 16:11:37
160632,1.2057,-0.4339,2020-01-22 10:16:00,2020-01-22 16:11:37
160632,1.2062,-0.3945,2020-01-22 10:17:00,2020-01-22 16:11:37
160632,1.2069,-0.3353,2020-01-22 10:18:00,2020-01-22 16:11:37
160632,1.2075,-0.2893,2020-01-22 10:19:00,2020-01-22 16:11:37
160632,1.2077,-0.2762,2020-01-22 10:20:00,2020-01-22 16:11:37
160632,1.2077,-0.2696,2020-01-22 10:21:00,2020-01-22 16:11:37
160632,1.2086,-0.1972,2020-01-22 10:22:00,2020-01-22 16:11:37
160632,1.2089,-0.1775,2020-01-22 10:23:00,2020-01-22 16:11:37
160632,1.2088,-0.1841,2020-01-22 10:24:00,2020-01-22 16:11:37
160632,1.2085,-0.2038,2020-01-22 10:25:00,2020-01-22 16:11:37
160632,1.2091,-0.1578,2020-01-22 10:26:00,2020-01-22 16:11:37
160632,1.2103,-0.0592,2020-01-22 10:27:00,2020-01-22 16:11:37
160632,1.2112,0.0132,2020-01-22 10:28:00,2020-01-22 16:11:37
160632,1.2111,0.0066,2020-01-22 10:29:00,2020-01-22 16:11:37
160632,1.2116,0.0526,2020-01-22 10:30:00,2020-01-22 16:11:37
160632,1.212,0.0855,2020-01-22 10:31:00,2020-01-22 16:11:37
160632,1.2122,0.0986,2020-01-22 10:32:00,2020-01-22 16:11:37
160632,1.2127,0.1381,2020-01-22 10:33:00,2020-01-22 16:11:37
160632,1.2139,0.2367,2020-01-22 10:34:00,2020-01-22 16:11:37
160632,1.2133,0.1907,2020-01-22 10:35:00,2020-01-22 16:11:37
160632,1.2132,0.1841,2020-01-22 10:36:00,2020-01-22 16:11:37
160632,1.2137,0.2235,2020-01-22 10:37:00,2020-01-22 16:11:37
160632,1.2143,0.2696,2020-01-22 10:38:00,2020-01-22 16:11:37
160632,1.2147,0.309,2020-01-22 10:39:00,2020-01-22 16:11:37
160632,1.2153,0.355,2020-01-22 10:40:00,2020-01-22 16:11:37
160632,1.2152,0.3485,2020-01-22 10:41:00,2020-01-22 16:11:37
160632,1.2148,0.3156,2020-01-22 10:42:00,2020-01-22 16:11:37
160632,1.215,0.3287,2020-01-22 10:43:00,2020-01-22 16:11:37
160632,1.2148,0.3156,2020-01-22 10:44:00,2020-01-22 16:11:37
160632,1.2146,0.2959,2020-01-22 10:45:00,2020-01-22 16:11:37
160632,1.2148,0.3156,2020-01-22 10:46:00,2020-01-22 16:11:37
160632,1.2136,0.217,2020-01-22 10:47:00,2020-01-22 16:11:37
160632,1.2141,0.2564,2020-01-22 10:48:00,2020-01-22 16:11:37
160632,1.2142,0.263,2020-01-22 10:49:00,2020-01-22 16:11:37
160632,1.215,0.3287,2020-01-22 10:50:00,2020-01-22 16:11:37
160632,1.2158,0.3945,2020-01-22 10:51:00,2020-01-22 16:11:37
160632,1.2163,0.4405,2020-01-22 10:52:00,2020-01-22 16:11:37
160632,1.2166,0.4602,2020-01-22 10:53:00,2020-01-22 16:11:37
160632,1.2158,0.3945,2020-01-22 10:54:00,2020-01-22 16:11:37
160632,1.2148,0.3156,2020-01-22 10:55:00,2020-01-22 16:11:37
160632,1.2152,0.3485,2020-01-22 10:56:00,2020-01-22 16:11:37
160632,1.215,0.3287,2020-01-22 10:57:00,2020-01-22 16:11:37
160632,1.2151,0.3419,2020-01-22 10:58:00,2020-01-22 16:11:37
160632,1.2151,0.3419,2020-01-22 10:59:00,2020-01-22 16:11:37
160632,1.2145,0.2893,2020-01-22 11:00:00,2020-01-22 16:11:37
160632,1.2146,0.2959,2020-01-22 11:01:00,2020-01-22 16:11:37
160632,1.2145,0.2893,2020-01-22 11:02:00,2020-01-22 16:11:37
160632,1.2142,0.263,2020-01-22 11:03:00,2020-01-22 16:11:37
160632,1.214,0.2498,2020-01-22 11:04:00,2020-01-22 16:11:37
160632,1.2134,0.1972,2020-01-22 11:05:00,2020-01-22 16:11:37
160632,1.2132,0.1841,2020-01-22 11:06:00,2020-01-22 16:11:37
160632,1.2133,0.1907,2020-01-22 11:07:00,2020-01-22 16:11:37
160632,1.2133,0.1907,2020-01-22 11:08:00,2020-01-22 16:11:37
160632,1.2131,0.171,2020-01-22 11:09:00,2020-01-22 16:11:37
160632,1.213,0.1644,2020-01-22 11:10:00,2020-01-22 16:11:37
160632,1.213,0.1644,2020-01-22 11:11:00,2020-01-22 16:11:37
160632,1.2126,0.1315,2020-01-22 11:12:00,2020-01-22 16:11:37
160632,1.2124,0.1118,2020-01-22 11:13:00,2020-01-22 16:11:37
160632,1.2112,0.0132,2020-01-22 11:14:00,2020-01-22 16:11:37
160632,1.2116,0.0526,2020-01-22 11:15:00,2020-01-22 16:11:37
160632,1.2116,0.046,2020-01-22 11:16:00,2020-01-22 16:11:37
160632,1.2117,0.0592,2020-01-22 11:17:00,2020-01-22 16:11:37
160632,1.2124,0.1184,2020-01-22 11:18:00,2020-01-22 16:11:37
160632,1.2121,0.092,2020-01-22 11:19:00,2020-01-22 16:11:37
160632,1.2124,0.1184,2020-01-22 11:20:00,2020-01-22 16:11:37
160632,1.2128,0.1512,2020-01-22 11:21:00,2020-01-22 16:11:37
160632,1.2127,0.1381,2020-01-22 11:22:00,2020-01-22 16:11:37
160632,1.2129,0.1578,2020-01-22 11:23:00,2020-01-22 16:11:37
160632,1.2131,0.171,2020-01-22 11:24:00,2020-01-22 16:11:37
160632,1.2136,0.217,2020-01-22 11:25:00,2020-01-22 16:11:37
160632,1.2139,0.2367,2020-01-22 11:26:00,2020-01-22 16:11:37
160632,1.2144,0.2827,2020-01-22 11:27:00,2020-01-22 16:11:37
160632,1.214,0.2498,2020-01-22 11:28:00,2020-01-22 16:11:37
160632,1.2142,0.263,2020-01-22 11:29:00,2020-01-22 16:11:37
160632,1.2143,0.2696,2020-01-22 11:30:00,2020-01-22 16:11:37
160632,1.213,0.1644,2020-01-22 13:00:00,2020-01-22 16:11:37
160632,1.213,0.1644,2020-01-22 13:01:00,2020-01-22 16:11:37
160632,1.2126,0.1315,2020-01-22 13:02:00,2020-01-22 16:11:37
160632,1.2129,0.1578,2020-01-22 13:03:00,2020-01-22 16:11:37
160632,1.2128,0.1512,2020-01-22 13:04:00,2020-01-22 16:11:37
160632,1.2124,0.1184,2020-01-22 13:05:00,2020-01-22 16:11:37
160632,1.2128,0.1447,2020-01-22 13:06:00,2020-01-22 16:11:37
160632,1.2122,0.0986,2020-01-22 13:07:00,2020-01-22 16:11:37
160632,1.2122,0.0986,2020-01-22 13:08:00,2020-01-22 16:11:37
160632,1.2122,0.0986,2020-01-22 13:09:00,2020-01-22 16:11:37
160632,1.2132,0.1841,2020-01-22 13:10:00,2020-01-22 16:11:37
160632,1.2123,0.1052,2020-01-22 13:11:00,2020-01-22 16:11:37
160632,1.2131,0.171,2020-01-22 13:12:00,2020-01-22 16:11:37
160632,1.2132,0.1841,2020-01-22 13:13:00,2020-01-22 16:11:37
160632,1.2135,0.2104,2020-01-22 13:14:00,2020-01-22 16:11:37
160632,1.2138,0.2301,2020-01-22 13:15:00,2020-01-22 16:11:37
160632,1.2128,0.1512,2020-01-22 13:16:00,2020-01-22 16:11:37
160632,1.2129,0.1578,2020-01-22 13:17:00,2020-01-22 16:11:37
160632,1.2132,0.1841,2020-01-22 13:18:00,2020-01-22 16:11:37
160632,1.2129,0.1578,2020-01-22 13:19:00,2020-01-22 16:11:37
160632,1.2131,0.1775,2020-01-22 13:20:00,2020-01-22 16:11:37
160632,1.2135,0.2038,2020-01-22 13:21:00,2020-01-22 16:11:37
160632,1.214,0.2498,2020-01-22 13:22:00,2020-01-22 16:11:37
160632,1.2141,0.2564,2020-01-22 13:23:00,2020-01-22 16:11:37
160632,1.2138,0.2301,2020-01-22 13:24:00,2020-01-22 16:11:37
160632,1.2136,0.217,2020-01-22 13:25:00,2020-01-22 16:11:37
160632,1.2136,0.217,2020-01-22 13:26:00,2020-01-22 16:11:37
160632,1.2136,0.217,2020-01-22 13:27:00,2020-01-22 16:11:37
160632,1.2139,0.2367,2020-01-22 13:28:00,2020-01-22 16:11:37
160632,1.2137,0.2235,2020-01-22 13:29:00,2020-01-22 16:11:37
160632,1.214,0.2498,2020-01-22 13:30:00,2020-01-22 16:11:37
160632,1.2143,0.2762,2020-01-22 13:31:00,2020-01-22 16:11:37
160632,1.2151,0.3419,2020-01-22 13:32:00,2020-01-22 16:11:37
160632,1.2155,0.3748,2020-01-22 13:33:00,2020-01-22 16:11:37
160632,1.2155,0.3748,2020-01-22 13:34:00,2020-01-22 16:11:37
160632,1.2155,0.3682,2020-01-22 13:35:00,2020-01-22 16:11:37
160632,1.2155,0.3682,2020-01-22 13:36:00,2020-01-22 16:11:37
160632,1.2159,0.4077,2020-01-22 13:37:00,2020-01-22 16:11:37
160632,1.2159,0.4077,2020-01-22 13:38:00,2020-01-22 16:11:37
160632,1.2162,0.4274,2020-01-22 13:39:00,2020-01-22 16:11:37
160632,1.2156,0.3814,2020-01-22 13:40:00,2020-01-22 16:11:37
160632,1.2158,0.3945,2020-01-22 13:41:00,2020-01-22 16:11:37
160632,1.2163,0.4405,2020-01-22 13:42:00,2020-01-22 16:11:37
160632,1.216,0.4142,2020-01-22 13:43:00,2020-01-22 16:11:37
160632,1.2154,0.3616,2020-01-22 13:44:00,2020-01-22 16:11:37
160632,1.2155,0.3748,2020-01-22 13:45:00,2020-01-22 16:11:37
160632,1.2154,0.3616,2020-01-22 13:46:00,2020-01-22 16:11:37
160632,1.2152,0.3485,2020-01-22 13:47:00,2020-01-22 16:11:37
160632,1.2143,0.2762,2020-01-22 13:48:00,2020-01-22 16:11:37
160632,1.2143,0.2762,2020-01-22 13:49:00,2020-01-22 16:11:37
160632,1.2147,0.309,2020-01-22 13:50:00,2020-01-22 16:11:37
160632,1.2147,0.3024,2020-01-22 13:51:00,2020-01-22 16:11:37
160632,1.2146,0.2959,2020-01-22 13:52:00,2020-01-22 16:11:37
160632,1.2147,0.3024,2020-01-22 13:53:00,2020-01-22 16:11:37
160632,1.2148,0.3156,2020-01-22 13:54:00,2020-01-22 16:11:37
160632,1.2148,0.3156,2020-01-22 13:55:00,2020-01-22 16:11:37
160632,1.215,0.3287,2020-01-22 13:56:00,2020-01-22 16:11:37
160632,1.2149,0.3222,2020-01-22 13:57:00,2020-01-22 16:11:37
160632,1.2151,0.3353,2020-01-22 13:58:00,2020-01-22 16:11:37
160632,1.2151,0.3353,2020-01-22 13:59:00,2020-01-22 16:11:37
160632,1.2148,0.3156,2020-01-22 14:00:00,2020-01-22 16:11:37
160632,1.2148,0.3156,2020-01-22 14:01:00,2020-01-22 16:11:37
160632,1.2148,0.3156,2020-01-22 14:02:00,2020-01-22 16:11:37
160632,1.2146,0.2959,2020-01-22 14:03:00,2020-01-22 16:11:37
160632,1.2147,0.309,2020-01-22 14:04:00,2020-01-22 16:11:37
160632,1.2157,0.3879,2020-01-22 14:05:00,2020-01-22 16:11:37
160632,1.2159,0.4011,2020-01-22 14:06:00,2020-01-22 16:11:37
160632,1.2158,0.3945,2020-01-22 14:07:00,2020-01-22 16:11:37
160632,1.2157,0.3879,2020-01-22 14:08:00,2020-01-22 16:11:37
160632,1.2157,0.3879,2020-01-22 14:09:00,2020-01-22 16:11:37
160632,1.2161,0.4208,2020-01-22 14:10:00,2020-01-22 16:11:37
160632,1.2158,0.3945,2020-01-22 14:11:00,2020-01-22 16:11:37
160632,1.2157,0.3879,2020-01-22 14:12:00,2020-01-22 16:11:37
160632,1.2158,0.3945,2020-01-22 14:13:00,2020-01-22 16:11:37
160632,1.2159,0.4011,2020-01-22 14:14:00,2020-01-22 16:11:37
160632,1.2157,0.3879,2020-01-22 14:15:00,2020-01-22 16:11:37
160632,1.2157,0.3879,2020-01-22 14:16:00,2020-01-22 16:11:37
160632,1.2155,0.3682,2020-01-22 14:17:00,2020-01-22 16:11:37
160632,1.2159,0.4077,2020-01-22 14:18:00,2020-01-22 16:11:37
160632,1.216,0.4142,2020-01-22 14:19:00,2020-01-22 16:11:37
160632,1.2154,0.3616,2020-01-22 14:20:00,2020-01-22 16:11:37
160632,1.2152,0.3485,2020-01-22 14:21:00,2020-01-22 16:11:37
160632,1.2155,0.3682,2020-01-22 14:22:00,2020-01-22 16:11:37
160632,1.2154,0.3616,2020-01-22 14:23:00,2020-01-22 16:11:37
160632,1.2155,0.3748,2020-01-22 14:24:00,2020-01-22 16:11:37
160632,1.2156,0.3814,2020-01-22 14:25:00,2020-01-22 16:11:37
160632,1.2155,0.3682,2020-01-22 14:26:00,2020-01-22 16:11:37
160632,1.2156,0.3814,2020-01-22 14:27:00,2020-01-22 16:11:37
160632,1.2157,0.3879,2020-01-22 14:28:00,2020-01-22 16:11:37
160632,1.2156,0.3814,2020-01-22 14:29:00,2020-01-22 16:11:37
160632,1.2154,0.3616,2020-01-22 14:30:00,2020-01-22 16:11:37
160632,1.2151,0.3353,2020-01-22 14:31:00,2020-01-22 16:11:37
160632,1.2151,0.3419,2020-01-22 14:32:00,2020-01-22 16:11:37
160632,1.2149,0.3222,2020-01-22 14:33:00,2020-01-22 16:11:37
160632,1.2145,0.2893,2020-01-22 14:34:00,2020-01-22 16:11:37
160632,1.2147,0.3024,2020-01-22 14:35:00,2020-01-22 16:11:37
160632,1.2147,0.309,2020-01-22 14:36:00,2020-01-22 16:11:37
160632,1.2151,0.3419,2020-01-22 14:37:00,2020-01-22 16:11:37
160632,1.2153,0.355,2020-01-22 14:38:00,2020-01-22 16:11:37
160632,1.2153,0.355,2020-01-22 14:39:00,2020-01-22 16:11:37
160632,1.2153,0.355,2020-01-22 14:40:00,2020-01-22 16:11:37
160632,1.2155,0.3682,2020-01-22 14:41:00,2020-01-22 16:11:37
160632,1.2155,0.3748,2020-01-22 14:42:00,2020-01-22 16:11:37
160632,1.2155,0.3682,2020-01-22 14:43:00,2020-01-22 16:11:37
160632,1.2153,0.355,2020-01-22 14:44:00,2020-01-22 16:11:37
160632,1.2154,0.3616,2020-01-22 14:45:00,2020-01-22 16:11:37
160632,1.2154,0.3616,2020-01-22 14:46:00,2020-01-22 16:11:37
160632,1.2154,0.3616,2020-01-22 14:47:00,2020-01-22 16:11:37
160632,1.2153,0.355,2020-01-22 14:48:00,2020-01-22 16:11:37
160632,1.2152,0.3485,2020-01-22 14:49:00,2020-01-22 16:11:37
160632,1.2151,0.3419,2020-01-22 14:50:00,2020-01-22 16:11:37
160632,1.2147,0.3024,2020-01-22 14:51:00,2020-01-22 16:11:37
160632,1.2147,0.3024,2020-01-22 14:52:00,2020-01-22 16:11:37
160632,1.2144,0.2827,2020-01-22 14:53:00,2020-01-22 16:11:37
160632,1.2139,0.2433,2020-01-22 14:54:00,2020-01-22 16:11:37
160632,1.2137,0.2235,2020-01-22 14:55:00,2020-01-22 16:11:37
160632,1.2139,0.2433,2020-01-22 14:56:00,2020-01-22 16:11:37
160632,1.214,0.2498,2020-01-22 14:57:00,2020-01-22 16:11:37
160632,1.214,0.2498,2020-01-22 14:58:00,2020-01-22 16:11:37
160632,1.214,0.2498,2020-01-22 14:59:00,2020-01-22 16:11:37
160632,1.217,0.5,2020-01-22 15:00:00,2020-01-22 16:11:37
160632,1.1675,-0.4688,2020-01-23 09:30:00,2020-02-01 20:28:09
160632,1.1643,-0.7446,2020-01-23 09:31:00,2020-02-01 20:28:09
160632,1.1594,-1.1582,2020-01-23 09:32:00,2020-02-01 20:28:09
160632,1.1628,-0.8732,2020-01-23 09:33:00,2020-02-01 20:28:09
160632,1.1643,-0.7446,2020-01-23 09:34:00,2020-02-01 20:28:09
160632,1.1649,-0.6894,2020-01-23 09:35:00,2020-02-01 20:28:09
160632,1.1657,-0.6251,2020-01-23 09:36:00,2020-02-01 20:28:09
160632,1.1662,-0.5791,2020-01-23 09:37:00,2020-02-01 20:28:09
160632,1.1636,-0.7997,2020-01-23 09:38:00,2020-02-01 20:28:09
160632,1.1643,-0.7446,2020-01-23 09:39:00,2020-02-01 20:28:09
160632,1.1661,-0.5883,2020-01-23 09:40:00,2020-02-01 20:28:09
160632,1.169,-0.3401,2020-01-23 09:41:00,2020-02-01 20:28:09
160632,1.1678,-0.4412,2020-01-23 09:42:00,2020-02-01 20:28:09
160632,1.1676,-0.4596,2020-01-23 09:43:00,2020-02-01 20:28:09
160632,1.1661,-0.5883,2020-01-23 09:44:00,2020-02-01 20:28:09
160632,1.1639,-0.7721,2020-01-23 09:45:00,2020-02-01 20:28:09
160632,1.1648,-0.6986,2020-01-23 09:46:00,2020-02-01 20:28:09
160632,1.1647,-0.7078,2020-01-23 09:47:00,2020-02-01 20:28:09
160632,1.1647,-0.7078,2020-01-23 09:48:00,2020-02-01 20:28:09
160632,1.1657,-0.6251,2020-01-23 09:49:00,2020-02-01 20:28:09
160632,1.1651,-0.671,2020-01-23 09:50:00,2020-02-01 20:28:09
160632,1.165,-0.6802,2020-01-23 09:51:00,2020-02-01 20:28:09
160632,1.1647,-0.7078,2020-01-23 09:52:00,2020-02-01 20:28:09
160632,1.1638,-0.7813,2020-01-23 09:53:00,2020-02-01 20:28:09
160632,1.1632,-0.8365,2020-01-23 09:54:00,2020-02-01 20:28:09
160632,1.1609,-1.0295,2020-01-23 09:55:00,2020-02-01 20:28:09
160632,1.1624,-0.9008,2020-01-23 09:56:00,2020-02-01 20:28:09
160632,1.162,-0.9376,2020-01-23 09:57:00,2020-02-01 20:28:09
160632,1.1616,-0.9744,2020-01-23 09:58:00,2020-02-01 20:28:09
160632,1.1611,-1.0111,2020-01-23 09:59:00,2020-02-01 20:28:09
160632,1.1594,-1.1582,2020-01-23 10:00:00,2020-02-01 20:28:09
160632,1.1594,-1.1582,2020-01-23 10:01:00,2020-02-01 20:28:09
160632,1.1595,-1.149,2020-01-23 10:02:00,2020-02-01 20:28:09
160632,1.1596,-1.1398,2020-01-23 10:03:00,2020-02-01 20:28:09
160632,1.1601,-1.103,2020-01-23 10:04:00,2020-02-01 20:28:09
160632,1.1598,-1.1214,2020-01-23 10:05:00,2020-02-01 20:28:09
160632,1.16,-1.1122,2020-01-23 10:06:00,2020-02-01 20:28:09
160632,1.1595,-1.149,2020-01-23 10:07:00,2020-02-01 20:28:09
160632,1.1589,-1.2042,2020-01-23 10:08:00,2020-02-01 20:28:09
160632,1.1579,-1.2869,2020-01-23 10:09:00,2020-02-01 20:28:09
160632,1.1579,-1.2869,2020-01-23 10:10:00,2020-02-01 20:28:09
160632,1.1583,-1.2501,2020-01-23 10:11:00,2020-02-01 20:28:09
160632,1.1591,-1.1858,2020-01-23 10:12:00,2020-02-01 20:28:09
160632,1.1583,-1.2501,2020-01-23 10:13:00,2020-02-01 20:28:09
160632,1.1579,-1.2869,2020-01-23 10:14:00,2020-02-01 20:28:09
